epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,919.51,0.76756,0.6698,0.92228,0.99487,0.57143,0.58123,0.44688,0.60841,0.56821,0.79393,0.00118325,0.00118325,0.00118325
35,950.667,0.74713,0.62495,0.90792,0.84397,0.80952,0.78664,0.62286,0.6266,0.49206,0.78765,0.0011585,0.0011585,0.0011585
36,974.946,0.72469,0.62338,0.90279,0.93057,0.7619,0.79548,0.62206,0.60154,0.49284,0.77875,0.00113375,0.00113375,0.00113375
37,1000.88,0.70224,0.60265,0.90846,0.83781,0.7619,0.76007,0.60902,0.60225,0.50132,0.78092,0.001109,0.001109,0.001109
38,1032.93,0.73518,0.60223,0.90697,0.84151,0.75868,0.76698,0.59945,0.59661,0.47272,0.7791,0.00108425,0.00108425,0.00108425
39,1063.43,0.70739,0.58959,0.88894,0.87958,0.7619,0.78088,0.60722,0.63821,0.5198,0.78476,0.0010595,0.0010595,0.0010595
40,1101.9,0.74662,0.62112,0.90038,1,0.66251,0.67312,0.51022,0.56359,0.49286,0.77557,0.00103475,0.00103475,0.00103475
41,1133.77,0.70712,0.63135,0.89685,0.93733,0.71236,0.79436,0.62258,0.57246,0.39935,0.78052,0.00101,0.00101,0.00101
42,1169.42,0.67338,0.5682,0.89627,0.87722,0.80952,0.79013,0.59536,0.64497,0.57802,0.78253,0.00098525,0.00098525,0.00098525
43,1207.94,0.6829,0.56337,0.88323,0.84425,0.80952,0.77963,0.60567,0.62373,0.57615,0.78656,0.0009605,0.0009605,0.0009605
44,1238.57,0.67683,0.56284,0.89192,0.94363,0.7976,0.80027,0.6287,0.61077,0.42406,0.78741,0.00093575,0.00093575,0.00093575
45,1265.88,0.69316,0.57039,0.89556,0.88861,0.7599,0.75609,0.60649,0.65356,0.43239,0.78625,0.000911,0.000911,0.000911
46,1298.94,0.68644,0.54271,0.89176,0.89341,0.79869,0.79626,0.63621,0.67008,0.47697,0.78996,0.00088625,0.00088625,0.00088625
47,1330.44,0.70539,0.56793,0.91396,0.94416,0.80535,0.7986,0.59597,0.74061,0.45013,0.79003,0.0008615,0.0008615,0.0008615
48,1366.44,0.63949,0.51644,0.8757,0.9443,0.80737,0.80142,0.59246,0.65432,0.45826,0.77927,0.00083675,0.00083675,0.00083675
49,1394.87,0.65016,0.51585,0.8771,0.9444,0.80883,0.80525,0.64085,0.59722,0.42877,0.77473,0.000812,0.000812,0.000812
50,1423.9,0.67614,0.56977,0.88051,0.94419,0.80577,0.80046,0.63156,0.55652,0.42741,0.77211,0.00078725,0.00078725,0.00078725
51,1452.27,0.64011,0.52338,0.87947,0.94413,0.80497,0.80037,0.61388,0.59105,0.40245,0.77309,0.0007625,0.0007625,0.0007625
52,1487.4,0.6317,0.50785,0.88108,0.94103,0.75998,0.7991,0.62784,0.55174,0.38811,0.7723,0.00073775,0.00073775,0.00073775
53,1517.11,0.60853,0.5119,0.86513,0.92746,0.7619,0.80071,0.62264,0.60828,0.38394,0.76826,0.000713,0.000713,0.000713
54,1551.51,0.63554,0.55276,0.88551,0.89221,0.80952,0.79546,0.6125,0.62751,0.51837,0.77942,0.00068825,0.00068825,0.00068825
55,1580.08,0.61094,0.4816,0.87388,0.88754,0.7619,0.79135,0.60043,0.63039,0.488,0.77466,0.0006635,0.0006635,0.0006635
56,1609.11,0.64563,0.52935,0.87298,0.89359,0.80019,0.78483,0.60814,0.61872,0.46653,0.77743,0.00063875,0.00063875,0.00063875
57,1639.14,0.6529,0.51958,0.90161,0.89351,0.80952,0.7935,0.64408,0.52965,0.47126,0.76773,0.000614,0.000614,0.000614
58,1670.86,0.64339,0.51418,0.88829,0.89389,0.80261,0.79695,0.62549,0.58036,0.44742,0.77321,0.00058925,0.00058925,0.00058925
59,1701.05,0.63081,0.50572,0.87174,0.84843,0.80006,0.79081,0.60316,0.62728,0.41109,0.77243,0.0005645,0.0005645,0.0005645
60,1729.25,0.58714,0.48926,0.86739,0.89445,0.8072,0.79376,0.63881,0.51927,0.41849,0.76624,0.00053975,0.00053975,0.00053975
61,1756.98,0.57815,0.47325,0.86176,0.88939,0.80952,0.79359,0.63335,0.53126,0.45076,0.76833,0.000515,0.000515,0.000515
62,1786.4,0.60509,0.49628,0.87711,0.88164,0.80952,0.79457,0.63138,0.58751,0.41912,0.78007,0.00049025,0.00049025,0.00049025
63,1811.94,0.59446,0.50124,0.88334,0.89433,0.80621,0.79878,0.65383,0.53813,0.41141,0.76893,0.0004655,0.0004655,0.0004655
64,1847.01,0.57753,0.48877,0.8795,0.88842,0.75846,0.78571,0.63908,0.48713,0.37903,0.76624,0.00044075,0.00044075,0.00044075
65,1896.3,0.55804,0.46094,0.87128,0.88819,0.80952,0.79328,0.60911,0.59879,0.44044,0.77108,0.000416,0.000416,0.000416
66,1925.51,0.58944,0.4884,0.87434,0.88622,0.7619,0.79091,0.63071,0.52328,0.41858,0.76488,0.00039125,0.00039125,0.00039125
67,1950.69,0.58685,0.46336,0.87023,0.89335,0.79821,0.79688,0.61457,0.54179,0.39553,0.77124,0.0003665,0.0003665,0.0003665
68,1984.96,0.60142,0.51768,0.88109,0.88376,0.80952,0.78797,0.62068,0.53838,0.42361,0.76809,0.00034175,0.00034175,0.00034175
69,2008.2,0.54959,0.43158,0.86329,0.88672,0.80952,0.79493,0.63627,0.5227,0.39798,0.76473,0.000317,0.000317,0.000317
70,2034.68,0.5508,0.45367,0.85534,0.88773,0.80952,0.7954,0.65184,0.51646,0.38343,0.76529,0.00029225,0.00029225,0.00029225
71,2062.58,0.47943,0.39139,0.81755,0.88616,0.80952,0.79231,0.6616,0.51888,0.3934,0.76643,0.0002675,0.0002675,0.0002675
72,2090.29,0.47133,0.39015,0.82474,0.88585,0.80952,0.78952,0.62633,0.51863,0.42059,0.76561,0.00024275,0.00024275,0.00024275
73,2114.07,0.47227,0.38893,0.82787,0.88874,0.80952,0.79365,0.6248,0.54319,0.41726,0.7652,0.000218,0.000218,0.000218
74,2142.4,0.47063,0.38463,0.81011,0.88839,0.80952,0.79383,0.64172,0.51161,0.40644,0.76964,0.00019325,0.00019325,0.00019325
75,2168.76,0.46887,0.36501,0.81654,0.88875,0.80952,0.79534,0.63396,0.54764,0.41154,0.76577,0.0001685,0.0001685,0.0001685
76,2198.05,0.45339,0.35825,0.80824,0.89208,0.80952,0.79646,0.63501,0.53616,0.39572,0.76808,0.00014375,0.00014375,0.00014375
77,2226.52,0.46558,0.37012,0.82644,0.89087,0.80952,0.79587,0.63833,0.53161,0.39658,0.76805,0.000119,0.000119,0.000119
78,2251.97,0.4359,0.36832,0.81718,0.8897,0.80952,0.79515,0.63478,0.52739,0.38023,0.76562,9.425e-05,9.425e-05,9.425e-05
79,2276.71,0.4342,0.34969,0.81305,0.88898,0.80952,0.79515,0.64184,0.50673,0.37399,0.76389,6.95e-05,6.95e-05,6.95e-05
80,2303.3,0.44195,0.35091,0.8152,0.88826,0.80952,0.79679,0.64927,0.52061,0.39645,0.76678,4.475e-05,4.475e-05,4.475e-05
